team,salary,player,position,season
Boston Celtics,18077903,Paul Pierce, SF,2008-2009
Toronto Raptors,17810000,Shawn Marion, SG,2008-2009
Orlando Magic,16447871,Rashard Lewis, PF,2008-2009
Milwaukee Bucks,15780000,Michael Redd, SG,2008-2009
Los Angeles Lakers,15106000,Pau Gasol, C,2008-2009
Utah Jazz,15106000,Andrei Kirilenko, SF,2008-2009
Phoenix Suns,15070550,Amar'e Stoudemire, C,2008-2009
Houston Rockets,15070550,Yao Ming, C,2008-2009
Dallas Mavericks,21372000,Jason Kidd, PG,2008-2009
Atlanta Hawks,14983603,Mike Bibby, PG,2008-2009
New Jersey Nets,14724125,Vince Carter, SF,2008-2009
New York Knicks,14666667,Zach Randolph, PF,2008-2009
Washington Wizards,14653466,Gilbert Arenas, PG,2008-2009
Cleveland Cavaliers,14500000,Ben Wallace, PF,2008-2009
Denver Nuggets,14431816,Kenyon Martin, PF,2008-2009
Miami Heat,14410581,Dwyane Wade, SG,2008-2009
Toronto Raptors,14410581,Chris Bosh, PF,2008-2009
Cleveland Cavaliers,14410581,LeBron James, SF,2008-2009
Denver Nuggets,14410581,Carmelo Anthony, PF,2008-2009
Toronto Raptors,21372000,Jermaine O'Neal, C,2008-2009
Atlanta Hawks,14232567,Joe Johnson, G,2008-2009
Los Angeles Lakers,14148596,Lamar Odom, PF,2008-2009
Detroit Pistons,13930000,Rasheed Wallace, PF,2008-2009
Cleveland Cavaliers,13775000,Wally Szczerbiak, SG,2008-2009
Orlando Magic,13758000,Dwight Howard, C,2008-2009
Philadelphia 76ers,13757844,Elton Brand, PF,2008-2009
Milwaukee Bucks,13200000,Richard Jefferson, F,2008-2009
New York Knicks,12827676,Larry Hughes, SG,2008-2009
Portland Trail Blazers,12722500,Raef LaFrentz, C,2008-2009
New Orleans Hornets,12528000,Peja Stojakovic, SF,2008-2009
Los Angeles Lakers,21262500,Kobe Bryant, SF,2008-2009
Phoenix Suns,12250000,Steve Nash, PG,2008-2009
Phoenix Suns,2.10E+07,Shaquille O'Neal, C,2008-2009
Detroit Pistons,20840625,Allen Iverson, SG,2008-2009
Boston Celtics,20840625,Stephon Marbury, PG,2008-2009
San Antonio Spurs,20598704,Tim Duncan, C,2008-2009
Houston Rockets,20370437,Tracy McGrady, SG,2008-2009
Charlotte Bobcats,12222221,Jason Richardson, SG,2008-2009
Utah Jazz,11593817,Carlos Boozer, PF,2008-2009
Dallas Mavericks,11553000,Erick Dampier, C,2008-2009
San Antonio Spurs,11550000,Tony Parker, PG,2008-2009
Sacramento Kings,11375000,Brad Miller, C,2008-2009
New Orleans Hornets,11350000,Tyson Chandler, C,2008-2009
Philadelphia 76ers,11300000,Andre Iguodala, SG,2008-2009
LA Clippers,11250000,Baron Davis, PG,2008-2009
Philadelphia 76ers,11238564,Samuel Dalembert, C,2008-2009
Detroit Pistons,11050000,Chauncey Billups, PG,2008-2009
Minnesota Timberwolves,1.10E+07,Al Jefferson, C,2008-2009
Golden State Warriors,1.10E+07,Monta Ellis, SG,2008-2009
Cleveland Cavaliers,10841615,Zydrunas Ilgauskas, C,2008-2009
Detroit Pistons,10812500,Richard Hamilton, SG,2008-2009
New Jersey Nets,10602667,Bobby Simmons, SF,2008-2009
Philadelphia 76ers,10333334,Andre Miller, PG,2008-2009
Indiana Pacers,10126984,Troy Murphy, PF,2008-2009
LA Clippers,1.00E+07,Marcus Camby, C,2008-2009
Chicago Bulls,1.00E+07,Kirk Hinrich, SG,2008-2009
Dallas Mavericks,9945000,Josh Howard, SF,2008-2009
Washington Wizards,9923285,Antawn Jamison, PF,2008-2009
San Antonio Spurs,9905248,Manu Ginobili, G,2008-2009
New Orleans Hornets,9862500,David West, F,2008-2009
New York Knicks,9723983,Eddy Curry, C,2008-2009
Denver Nuggets,9680000,Nene Hilario, C,2008-2009
Charlotte Bobcats,9537500,Emeka Okafor, C,2008-2009
Charlotte Bobcats,9500000,Gerald Wallace, SF,2008-2009
LA Clippers,9500000,Chris Kaman, C,2008-2009
Detroit Pistons,9500000,Tayshaun Prince, SF,2008-2009
Chicago Bulls,9385000,Luol Deng, SF,2008-2009
Washington Wizards,9249980,Caron Butler, SF,2008-2009
New York Knicks,9226250,Al Harrington, PF,2008-2009
Dallas Mavericks,9196000,Jason Terry, G,2008-2009
Minnesota Timberwolves,9052460,Antoine Walker, PF,2008-2009
Minnesota Timberwolves,9028575,Mike Miller, SG,2008-2009
Golden State Warriors,9.00E+06,Andris Biedrins, C,2008-2009
Charlotte Bobcats,9.00E+06,Boris Diaw, C,2008-2009
Indiana Pacers,9.00E+06,Mike Dunleavy, SG,2008-2009
LA Clippers,8925000,Cuttino Mobley, SG,2008-2009
Sacramento Kings,8760335,Kevin Martin, SG,2008-2009
Indiana Pacers,6864200,Marquis Daniels, SG,2008-2009
Washington Wizards,6864200,Etan Thomas, C,2008-2009
Utah Jazz,6750000,Jamaal Tinsley, PG,2008-2009
Oklahoma City Thunder,6750000,Chris Wilcox, PF,2008-2009
Memphis Grizzlies,6575000,Marko Jaric, PG,2008-2009
Miami Heat,6575000,Udonis Haslem, PF,2008-2009
Milwaukee Bucks,6500000,Luke Ridnour, PG,2008-2009
Sacramento Kings,6487888,Bobby Jackson, PG,2008-2009
Houston Rockets,6448900,Shane Battier, SF,2008-2009
Chicago Bulls,6404750,Ben Gordon, SG,2008-2009
Oklahoma City Thunder,6350000,Nick Collison, F,2008-2009
Portland Trail Blazers,6310150,Joel Przybilla, C,2008-2009
Minnesota Timberwolves,6300000,Brian Cardinal, PF,2008-2009
Milwaukee Bucks,6294195,Andrew Bogut, C,2008-2009
Milwaukee Bucks,6250195,Dan Gadzuric, C,2008-2009
Washington Wizards,6244093,Mike James, PG,2008-2009
Washington Wizards,6200000,Antonio Daniels, PG,2008-2009
Oklahoma City Thunder,6200000,Earl Watson, PG,2008-2009
Sacramento Kings,6200000,Shareef Abdur-Rahim, PF,2008-2009
New York Knicks,6200000,Jerome James, C,2008-2009
Phoenix Suns,6100000,Leandro Barbosa, G,2008-2009
New York Knicks,8685500,Quentin Richardson, SF,2008-2009
New York Knicks,8640000,Jamal Crawford, SG,2008-2009
Sacramento Kings,8562500,Kenny Thomas, PF,2008-2009
Miami Heat,8513916,Mark Blount, C,2008-2009
Utah Jazz,8500000,Mehmet Okur, C,2008-2009
Indiana Pacers,8400000,Rasho Nesterovic, C,2008-2009
Cleveland Cavaliers,8353000,Mo Williams, PG,2008-2009
Golden State Warriors,8275862,Corey Maggette, SF,2008-2009
Sacramento Kings,8.00E+06,Andres Nocioni, SF,2008-2009
Indiana Pacers,8.00E+06,T.J. Ford, PG,2008-2009
New Jersey Nets,7800000,Devin Harris, PG,2008-2009
Orlando Magic,7700000,Jameer Nelson, G,2008-2009
Oklahoma City Thunder,7647500,Malik Rose, PF,2008-2009
Toronto Raptors,7438018,Jose Calderon, PG,2008-2009
Houston Rockets,7400000,Metta World Peace, SF,2008-2009
Cleveland Cavaliers,7312500,Eric Snow, PG,2008-2009
Golden State Warriors,7140000,Stephen Jackson, SF,2008-2009
Memphis Grizzlies,7020000,Darko Milicic, C,2008-2009
Dallas Mavericks,7.00E+06,Jerry Stackhouse, SF,2008-2009
Sacramento Kings,6077151,John Salmons, SF,2008-2009
New York Knicks,6049400,Jared Jeffries, PF,2008-2009
Charlotte Bobcats,6049400,Nazr Mohammed, C,2008-2009
Charlotte Bobcats,6049400,Vladimir Radmanovic, SF,2008-2009
Utah Jazz,6.00E+06,Matt Harpring, SF,2008-2009
Toronto Raptors,5784480,Jason Kapono, SG,2008-2009
Cleveland Cavaliers,5784480,Anderson Varejao, C,2008-2009
Atlanta Hawks,5757818,Speedy Claxton, PG,2008-2009
Orlando Magic,5746000,Tony Battie, C,2008-2009
Atlanta Hawks,5636142,Marvin Williams, PF,2008-2009
Sacramento Kings,5632200,Mikki Moore, C,2008-2009
New Orleans Hornets,5592240,Morris Peterson, SG,2008-2009
New York Knicks,5585000,Chris Duhon, PG,2008-2009
Sacramento Kings,5585000,Beno Udrih, PG,2008-2009
Charlotte Bobcats,5585000,DeSagana Diop, C,2008-2009
Washington Wizards,5500000,Brendan Haywood, C,2008-2009
Indiana Pacers,5500000,Jeff Foster, PF,2008-2009
Orlando Magic,5300000,Mickael Pietrus, SF,2008-2009
Oklahoma City Thunder,5300000,Desmond Mason, SF,2008-2009
Toronto Raptors,5176440,Andrea Bargnani, C,2008-2009
Utah Jazz,5069449,Deron Williams, PG,2008-2009
Charlotte Bobcats,5050000,Matt Carroll, SG,2008-2009
Portland Trail Blazers,5011680,Greg Oden, C,2008-2009
Charlotte Bobcats,5.00E+06,Raja Bell, SG,2008-2009
Denver Nuggets,4985001,JR Smith, SG,2008-2009
Utah Jazz,4956818,Kyle Korver, SG,2008-2009
Orlando Magic,4900000,Rafer Alston, PG,2008-2009
Chicago Bulls,4822800,Derrick Rose, PG,2008-2009
Oklahoma City Thunder,4778548,Nenad Krstic, C,2008-2009
Los Angeles Lakers,4700000,Derek Fisher, PG,2008-2009
Philadelphia 76ers,4640000,Reggie Evans, C,2008-2009
Portland Trail Blazers,4631400,LaMarcus Aldridge, PF,2008-2009
Boston Celtics,4578880,Kendrick Perkins, C,2008-2009
New Orleans Hornets,4574189,Chris Paul, PG,2008-2009
Toronto Raptors,4550000,Anthony Parker, SG,2008-2009
Los Angeles Lakers,4524887,Sasha Vujacic, SG,2008-2009
Cleveland Cavaliers,4500000,Sasha Pavlovic, SG,2008-2009
Philadelphia 76ers,4500000,Lou Williams, SG,2008-2009
Oklahoma City Thunder,4484040,Kevin Durant, SF,2008-2009
Milwaukee Bucks,4460186,Damon Jones, PG,2008-2009
Los Angeles Lakers,4420000,Luke Walton, SF,2008-2009
New Jersey Nets,4350000,Trenton Hassell, SF,2008-2009
Miami Heat,4314960,Michael Beasley, SF,2008-2009
Toronto Raptors,4260000,Marcus Banks, PG,2008-2009
Portland Trail Blazers,4250000,Steve Blake, PG,2008-2009
Washington Wizards,4235000,Darius Songaila, PF,2008-2009
San Antonio Spurs,4200000,Kurt Thomas, PF,2008-2009
Charlotte Bobcats,4159200,Adam Morrison, SF,2008-2009
Charlotte Bobcats,4148715,Raymond Felton, PG,2008-2009
Atlanta Hawks,4023720,Al Horford, C,2008-2009
Memphis Grizzlies,4010005,Greg Buckner, SG,2008-2009
Miami Heat,4010000,James Jones, SG,2008-2009
Detroit Pistons,4.00E+06,Kwame Brown, C,2008-2009
San Antonio Spurs,4.00E+06,Bruce Bowen, SF,2008-2009
Atlanta Hawks,4.00E+06,Zaza Pachulia, C,2008-2009
Memphis Grizzlies,3875040,O.J. Mayo, SG,2008-2009
Memphis Grizzlies,3862600,Steven Hunter, C,2008-2009
Cleveland Cavaliers,3850000,Delonte West, SG,2008-2009
Dallas Mavericks,3792112,Keith Van Horn, PF,2008-2009
Portland Trail Blazers,3771133,Martell Webster, SF,2008-2009
Chicago Bulls,3749880,Tyrus Thomas, PF,2008-2009
Utah Jazz,3700000,CJ Miles, SF,2008-2009
Cleveland Cavaliers,3700000,Daniel Gibson, SG,2008-2009
Detroit Pistons,3666667,Amir Johnson, C,2008-2009
Minnesota Timberwolves,3650000,Ryan Gomes, SF,2008-2009
Memphis Grizzlies,3630480,Mike Conley, PG,2008-2009
New Orleans Hornets,3630000,Rasual Butler, SF,2008-2009
Washington Wizards,3616072,DeShawn Stevenson, SG,2008-2009
San Antonio Spurs,3600000,Fabricio Oberto, C,2008-2009
Oklahoma City Thunder,3579131,Robert Swift, C,2008-2009
San Antonio Spurs,3500000,Roger Mason Jr., SG,2008-2009
Orlando Magic,3500000,Brian Cook, PF,2008-2009
Oklahoma City Thunder,3493680,Russell Westbrook, PG,2008-2009
Milwaukee Bucks,3448050,Charlie Villanueva, PF,2008-2009
Sacramento Kings,3395760,Shelden Williams, C,2008-2009
Philadelphia 76ers,3388000,Willie Green, SG,2008-2009
Milwaukee Bucks,3354480,Charlie Bell, SG,2008-2009
New Jersey Nets,3300000,Keyon Dooling, PG,2008-2009
Oklahoma City Thunder,3287640,Jeff Green, SF,2008-2009
New Jersey Nets,3250000,Eduardo Najera, PF,2008-2009
Oklahoma City Thunder,3240000,Chucky Atkins, PG,2008-2009
Boston Celtics,3206897,Brian Scalabrine, PF,2008-2009
Toronto Raptors,3200000,Kris Humphries, PF,2008-2009
Portland Trail Blazers,3163769,Channing Frye, F,2008-2009
Minnesota Timberwolves,3163680,Kevin Love, PF,2008-2009
Houston Rockets,3100667,Luis Scola, F,2008-2009
Los Angeles Lakers,3100000,Trevor Ariza, SF,2008-2009
Oklahoma City Thunder,3100000,Damien Wilkins, SG,2008-2009
Memphis Grizzlies,3093333,Marc Gasol, C,2008-2009
Portland Trail Blazers,3084240,Brandon Roy, SG,2008-2009
Houston Rockets,3.00E+06,Carl Landry, PF,2008-2009
New Jersey Nets,2986080,Yi Jianlian, SF,2008-2009
San Antonio Spurs,2978000,Matt Bonner, C,2008-2009
Sacramento Kings,2912823,Ike Diogu, PF,2008-2009
Golden State Warriors,2900000,Kelenna Azubuike, SF,2008-2009
New York Knicks,2873520,Danilo Gallinari, SF,2008-2009
Minnesota Timberwolves,2815560,Randy Foye, SG,2008-2009
Los Angeles Lakers,2769300,Andrew Bynum, C,2008-2009
Washington Wizards,2739669,Andray Blatche, C,2008-2009
Minnesota Timberwolves,2725920,Corey Brewer, F,2008-2009
Charlotte Bobcats,2661027,Sean May, C,2008-2009
Boston Celtics,2650000,Eddie House, SG,2008-2009
Houston Rockets,2634480,Steve Francis, PG,2008-2009
Minnesota Timberwolves,2630000,Mark Madsen, PF,2008-2009
LA Clippers,2623200,Eric Gordon, SG,2008-2009
Sacramento Kings,2620126,Rashad McCants, SG,2008-2009
Miami Heat,2612835,Dorell Wright, SF,2008-2009
Memphis Grizzlies,2579400,Rudy Gay, SF,2008-2009
Orlando Magic,2565000,Keith Bogans, SG,2008-2009
Minnesota Timberwolves,2500000,Craig Smith, PF,2008-2009
Los Angeles Lakers,2500000,Chris Mihm, C,2008-2009
San Antonio Spurs,2500000,Michael Finley, SG,2008-2009
Golden State Warriors,2497320,Brandan Wright, F,2008-2009
LA Clippers,2484000,Jason Hart, PG,2008-2009
Toronto Raptors,2449184,Joey Graham, SF,2008-2009
Milwaukee Bucks,2403120,Joe Alexander, SF,2008-2009
Indiana Pacers,2329805,Danny Granger, SF,2008-2009
Minnesota Timberwolves,2300000,Sebastian Telfair, PG,2008-2009
LA Clippers,2300000,Ricky Davis, SG,2008-2009
Chicago Bulls,2295480,Joakim Noah, C,2008-2009
Indiana Pacers,2272860,Maceo Baston, SF,2008-2009
Oklahoma City Thunder,2252400,Mouhamed Sene, C,2008-2009
Orlando Magic,2250000,Tyronn Lue, PG,2008-2009
Charlotte Bobcats,2208960,D.J. Augustin, PG,2008-2009
Sacramento Kings,2180760,Spencer Hawes, PF,2008-2009
Orlando Magic,2139720,JJ Redick, SG,2008-2009
Memphis Grizzlies,2119102,Hakim Warrick, PF,2008-2009
New Jersey Nets,2098560,Brook Lopez, C,2008-2009
Utah Jazz,2074302,Jarron Collins, C,2008-2009
Atlanta Hawks,2071680,Acie Law, PG,2008-2009
New Orleans Hornets,2032800,Hilton Armstrong, PF,2008-2009
New York Knicks,2020179,Nate Robinson, PG,2008-2009
Indiana Pacers,2002623,Jarrett Jack, G,2008-2009
Utah Jazz,2.00E+06,Brevin Knight, PG,2008-2009
Detroit Pistons,2.00E+06,Walter Herrmann Heinrich, PF,2008-2009
Portland Trail Blazers,1993560,Jerryd Bayless, PG,2008-2009
Sacramento Kings,1983454,Francisco Garcia, SG,2008-2009
Phoenix Suns,1976400,Grant Hill, SF,2008-2009
New Orleans Pelicans,1976400,Eddie Jones, SG,2008-2009
Philadelphia 76ers,1968120,Thaddeus Young, PF,2008-2009
Miami Heat,1962378,Luther Head, PG,2008-2009
Oklahoma City Thunder,1939893,Johan Petro, C,2008-2009
Oklahoma City Thunder,1931160,Thabo Sefolosha, SF,2008-2009
New Jersey Nets,1910000,Jarvis Hayes, SF,2008-2009
Orlando Magic,1910000,Anthony Johnson, PG,2008-2009
Houston Rockets,1910000,Brent Barry, SG,2008-2009
Sacramento Kings,1893840,Jason Thompson, PF,2008-2009
Detroit Pistons,1877572,Jason Maxiell, PF,2008-2009
New Orleans Hornets,1869600,Julian Wright, SF,2008-2009
Utah Jazz,1834680,Ronnie Brewer, SF,2008-2009
Denver Nuggets,1824493,Linas Kleiza, SF,2008-2009
Dallas Mavericks,1800000,Antoine Wright, SF,2008-2009
Indiana Pacers,1799160,Brandon Rush, SG,2008-2009
New York Knicks,1788033,David Lee, PF,2008-2009
LA Clippers,1776240,Al Thornton, SF,2008-2009
Houston Rockets,1768000,Chuck Hayes, PF,2008-2009
Sacramento Kings,1742760,Cedric Simmons, SF,2008-2009
Golden State Warriors,1709280,Anthony Randolph, SF,2008-2009
Milwaukee Bucks,1700000,Francisco Elson, C,2008-2009
Phoenix Suns,1700000,Goran Dragic, PG,2008-2009
Detroit Pistons,1687320,Rodney Stuckey, PG,2008-2009
Minnesota Timberwolves,1655760,Rodney Carney, SG,2008-2009
Golden State Warriors,1634000,Kosta Perovic, C,2008-2009
Phoenix Suns,1623720,Robin Lopez, C,2008-2009
Indiana Pacers,1620000,Travis Diener, PG,2008-2009
Washington Wizards,1602960,Nick Young, G,2008-2009
Dallas Mavericks,1600000,Devean George, SF,2008-2009
Dallas Mavericks,1572960,Shawne Williams, SF,2008-2009
Memphis Grizzlies,1572221,Hamed Haddadi, C,2008-2009
Philadelphia 76ers,1542600,Marreese Speights, F,2008-2009
New Jersey Nets,1522920,Sean Williams, PF,2008-2009
Atlanta Hawks,1500000,Ronald Murray, SG,2008-2009
Dallas Mavericks,1500000,J.J. Barea, PG,2008-2009
Indiana Pacers,1465440,Roy Hibbert, C,2008-2009
Golden State Warriors,1446720,Marco Belinelli, G,2008-2009
Washington Wizards,1446720,Oleksiy Pecherov, C,2008-2009
Toronto Raptors,1427040,Quincy Douby, SG,2008-2009
San Antonio Spurs,1410441,Drew Gooden, PF,2008-2009
Washington Wizards,1392240,JaVale McGee, C,2008-2009
Memphis Grizzlies,1381560,Javaris Crittenton, PG,2008-2009
Denver Nuggets,1369920,Renaldo Balkman, SF,2008-2009
Cleveland Cavaliers,1329480,JJ Hickson, C,2008-2009
Washington Wizards,1326360,Jason Smith, PF,2008-2009
Sacramento Kings,1319651,Calvin Booth, C,2008-2009
Boston Celtics,1315080,Rajon Rondo, PG,2008-2009
Milwaukee Bucks,1300000,Malik Allen, PF,2008-2009
Charlotte Bobcats,1276320,Alexis Ajinca, C,2008-2009
Miami Heat,1273200,Daequan Cook, SG,2008-2009
Golden State Warriors,1262520,Marcus Williams, PG,2008-2009
LA Clippers,1262275,Brian Skinner, PF,2008-2009
San Antonio Spurs,1262275,Jacque Vaughn, PG,2008-2009
Toronto Raptors,1250000,Roko-Leni Ukic, PG,2008-2009
New Jersey Nets,1225200,Ryan Anderson, PF,2008-2009
Charlotte Bobcats,1222320,Jared Dudley, SF,2008-2009
New Jersey Nets,1212120,Josh Boone, C,2008-2009
Oklahoma City Thunder,1200000,Joe Smith, PF,2008-2009
Utah Jazz,1188000,Ronnie Price, PG,2008-2009
Utah Jazz,1176240,Kosta Koufos, C,2008-2009
Orlando Magic,1176240,Courtney Lee, SG,2008-2009
New York Knicks,1173480,Wilson Chandler, SF,2008-2009
Memphis Grizzlies,1163520,Kyle Lowry, PG,2008-2009
Portland Trail Blazers,1084080,Rudy Fernandez, SG,2008-2009
Utah Jazz,1081440,Morris Almond, SG,2008-2009
San Antonio Spurs,1080000,Ime Udoka, SG,2008-2009
Los Angeles Lakers,1080000,Jordan Farmar, PG,2008-2009
Houston Rockets,1045560,Aaron Brooks, G,2008-2009
New Jersey Nets,1042440,Maurice Ager, SF,2008-2009
Portland Trail Blazers,1040640,Nicolas Batum, SF,2008-2009
New York Knicks,1034760,Mardy Collins, PG,2008-2009
Detroit Pistons,1015440,Arron Afflalo, G,2008-2009
San Antonio Spurs,1006200,George Hill, PG,2008-2009
Phoenix Suns,1001880,Alando Tucker, SF,2008-2009
Houston Rockets,998581,Loren Woods, C,2008-2009
New Orleans Hornets,998398,Melvin Ely, C,2008-2009
New Orleans Hornets,998398,Devin Brown, SG,2008-2009
Memphis Grizzlies,977160,Darrell Arthur, F,2008-2009
Charlotte Bobcats,972581,Ryan Hollins, C,2008-2009
Miami Heat,972581,Chris Quinn, PG,2008-2009
Oklahoma City Thunder,964080,D.J. White, PF,2008-2009
Boston Celtics,957120,J.R. Giddens, SG,2008-2009
Chicago Bulls,886517,Chris Richard, PF,2008-2009
Los Angeles Lakers,880658,Didier Ilunga-Mbenga, C,2008-2009
Miami Heat,875000,Yakhouba Diawara, SG,2008-2009
Portland Trail Blazers,874000,Sergio Rodriguez, PG,2008-2009
Philadelphia 76ers,854957,Royal Ivey, PG,2008-2009
Los Angeles Lakers,854957,Josh Powell, PF,2008-2009
Oklahoma City Thunder,854957,Shaun Livingston, PG,2008-2009
Washington Wizards,841000,Ian Mahinmi, C,2008-2009
Indiana Pacers,826269,Stephen Graham, SF,2008-2009
Atlanta Hawks,826269,Salim Stoudamire, SG,2008-2009
Dallas Mavericks,826269,Brandon Bass, PF,2008-2009
Houston Rockets,816500,Joey Dorsey, PF,2008-2009
Utah Jazz,810000,Kyrylo Fesenko, C,2008-2009
Sacramento Kings,809300,Donte Greene, SF,2008-2009
Oklahoma City Thunder,806452,Kyle Weaver, SG,2008-2009
Philadelphia 76ers,797581,Donyell Marshall, PF,2008-2009
Miami Heat,797581,Luke Jackson, SF,2008-2009
Orlando Magic,797581,Jason Williams, PG,2008-2009
Boston Celtics,797581,Leon Powe, PF,2008-2009
LA Clippers,797581,Paul Davis, C,2008-2009
Miami Heat,797581,Jamaal Magloire, C,2008-2009
Toronto Raptors,797581,Patrick O'Bryant, C,2008-2009
New Orleans Hornets,797581,Sean Marks, PF,2008-2009
Atlanta Hawks,797581,Randolph Morris, C,2008-2009
Milwaukee Bucks,757000,Luc Mbah a Moute, PF,2008-2009
Milwaukee Bucks,722517,Ramon Sessions, G,2008-2009
Chicago Bulls,722515,Lindsey Hunter, SG,2008-2009
Atlanta Hawks,711517,Thomas Gardner, SG,2008-2009
Utah Jazz,711517,Mike Harris, SF,2008-2009
Washington Wizards,711517,Dominic McGuire, PF,2008-2009
New York Knicks,711517,Demetris Nichols, SF,2008-2009
Toronto Raptors,711517,Hassan Adams, SF,2008-2009
Toronto Raptors,711517,Jamario Moon, SF,2008-2009
Chicago Bulls,711517,Aaron Gray, C,2008-2009
Detroit Pistons,711517,Will Bynum, PG,2008-2009
Miami Heat,7.00E+05,Mario Chalmers, G,2008-2009
Charlotte Bobcats,670906,Dwayne Jones II, PF,2008-2009
San Antonio Spurs,631995,Blake Ahearn, G,2008-2009
Detroit Pistons,600532,Antonio McDyess, PF,2008-2009
Orlando Magic,591148,Jeremy Richardson, SG,2008-2009
Charlotte Bobcats,586457,Juwan Howard, PF,2008-2009
Toronto Raptors,577073,Jake Voskuhl, C,2008-2009
LA Clippers,550000,DeAndre Jordan, C,2008-2009
Boston Celtics,542114,Henry Walker, SF,2008-2009
Houston Rockets,502007,Dikembe Mutombo, C,2008-2009
LA Clippers,5.00E+05,Mike Taylor, PG,2008-2009
LA Clippers,459782,Fred Jones, SG,2008-2009
Memphis Grizzlies,450399,Darius Miles, SF,2008-2009
Cleveland Cavaliers,450000,Darnell Jackson, PF,2008-2009
